Status	Temporal	Word	Alternative
-	0	IVDLXXII	
-	0	IVDLXXIII	
-	0	IVDLXXIV	
-	0	IVDLXXIX	
-	0	IVDLXXV	
-	0	IVDLXXVI	
-	0	IVDLXXVII	
-	0	IVDLXXVIII	
-	0	IVDLXXX	
-	0	IVDLXXXI	
-	0	IVDLXXXII	
-	0	IVDLXXXIII	
-	0	IVDLXXXIV	
-	0	IVDLXXXIX	
-	0	IVDLXXXV	
-	0	IVDLXXXVI	
-	0	IVDLXXXVII	
-	0	IVDLXXXVIII	
-	0	IVDV	
-	0	IVDVI	
-	0	IVDVII	
-	0	IVDVIII	
-	0	IVDX	
-	0	IVDXC	
-	0	IVDXCI	
-	0	IVDXCII	
-	0	IVDXCIII	
-	0	IVDXCIV	
-	0	IVDXCIX	
-	0	IVDXCV	
-	0	IVDXCVI	
-	0	IVDXCVII	
-	0	IVDXCVIII	
-	0	IVDXI	
-	0	IVDXII	
-	0	IVDXIII	
-	0	IVDXIV	
-	0	IVDXIX	
-	0	IVDXL	
-	0	IVDXLI	
-	0	IVDXLII	
-	0	IVDXLIII	
-	0	IVDXLIV	
-	0	IVDXLIX	
-	0	IVDXLV	
-	0	IVDXLVI	
-	0	IVDXLVII	
-	0	IVDXLVIII	
-	0	IVDXV	
-	0	IVDXVI	
-	0	IVDXVII	
-	0	IVDXVIII	
-	0	IVDXX	
-	0	IVDXXI	
-	0	IVDXXII	
-	0	IVDXXIII	
-	0	IVDXXIV	
-	0	IVDXXIX	
-	0	IVDXXV	
-	0	IVDXXVI	
-	0	IVDXXVII	
-	0	IVDXXVIII	
-	0	IVDXXX	
-	0	IVDXXXI	
-	0	IVDXXXII	
-	0	IVDXXXIII	
-	0	IVDXXXIV	
-	0	IVDXXXIX	
-	0	IVDXXXV	
-	0	IVDXXXVI	
-	0	IVDXXXVII	
-	0	IVDXXXVIII	
-	0	IVI	
-	0	IVII	
-	0	IVIII	
-	0	IVIV	
-	0	IVIX	
-	0	IVL	
-	0	IVLI	
-	0	IVLII	
-	0	IVLIII	
-	0	IVLIV	
-	0	IVLIX	
-	0	IVLV	
-	0	IVLVI	
-	0	IVLVII	
-	0	IVLVIII	
-	0	IVLX	
-	0	IVLXI	
-	0	IVLXII	
-	0	IVLXIII	
-	0	IVLXIV	
-	0	IVLXIX	
-	0	IVLXV	
-	0	IVLXVI	
-	0	IVLXVII	
-	0	IVLXVIII	
-	0	IVLXX	
-	0	IVLXXI	
-	0	IVLXXII	
-	0	IVLXXIII	
-	0	IVLXXIV	
-	0	IVLXXIX	
-	0	IVLXXV	
-	0	IVLXXVI	
